"V1","V2","V3","V4","V5","V6"
114,2379,2436,1093,2760,545
1523,915,1899,2910,407,2435
730,2164,660,2444,1256,1963
281,500,3526,2220,2017,3181
3075,864,396,225,77,138
1562,2036,2761,1626,2621,1940
3403,204,3346,3296,2948,209
353,2490,2004,1996,2927,836
2339,494,3105,627,736,3421
155,2015,125,2233,2447,2698
557,1332,589,59,2993,2950
3513,3258,1423,2126,1660,224
901,36,2383,2874,3374,371
333,2973,2288,583,1564,70
675,1960,2283,1015,2115,343
938,3337,2805,2364,3406,1744
2660,2890,2675,2595,2895,3149
3291,1488,574,2764,2371,2782
970,3470,1304,3222,2804,1021
1158,1683,1850,124,3503,167
3264,247,2268,1557,1435,1203
2704,1146,328,1470,3491,117
860,1392,1008,544,942,910
1582,2713,3349,1529,502,3398
1999,2306,3443,559,1997,1223
3236,140,857,1587,3378,2074
1536,3215,2622,1909,379,3419
1477,2490,353,3505,3087,2323
2120,2800,305,1925,3008,1888
472,452,1698,2753,3049,1781
120,2243,902,3352,1767,2886
2807,1990,2736,2196,2940,1128
226,3214,1213,1892,2737,269
733,241,1506,940,2983,1514
1186,2946,734,3381,370,1944
3417,729,190,450,2240,502
2359,115,1721,1184,813,991
1878,2460,2231,2862,635,1262
608,216,3148,3151,3446,534
1006,991,810,278,2359,1938
763,3005,2138,3007,1365,2938
3500,2175,134,2008,93,3013
1102,626,1447,3280,3407,666
2387,69,2714,3010,2228,1866
2471,1967,154,489,1393,745
2655,2122,2121,1081,2548,233
3282,1459,830,31,3271,1601
1795,2296,2914,2860,3447,623
1631,2583,1916,2049,3341,291
287,1691,3333,3347,1447,3047
3023,1910,383,422,772,2227
2626,2676,418,3085,2755,1896
2238,501,12,1881,972,1555
1905,221,440,960,519,2943
1946,2016,1070,1299,1838,3298
2039,1546,41,1035,1110,891
3189,1601,572,820,2726,3282
3060,2139,2979,2880,2792,1599
909,3103,1533,2696,319,2085
3120,2023,1278,691,1328,533
572,1394,2801,2726,83,2577
2899,845,1061,215,1159,2531
2998,2004,2927,2558,781,2308
2617,2043,1433,2088,1029,1542
2069,3420,2694,2202,2606,936
2841,752,429,3440,595,2643
2374,2514,2758,1356,2504,1255
2975,213,2526,482,2209,2325
1149,1679,2248,1044,1592,1936
3469,345,1196,2958,1401,2447
1399,2084,3391,3180,2885,3506
2883,835,1159,2531,3141,3217
2740,3045,1417,1179,2481,2572
974,2123,220,51,2892,1320
732,1892,1451,2189,3242,1057
1694,3108,2725,3016,532,2993
1696,1719,2688,643,600,3340
3312,2176,1313,291,1494,2561
1048,2915,2076,3170,1584,1623
